location,address,city,county,latitude,longitude,type
 Bonnie Brae Golf Club,1116 Ashmore Bridge Rd,Greenville,"(Greenville County, SC)",34.747103,-82.354293,Nest
Bonnie Brae Golf Club ,1116 Ashmore Bridge Rd,Greenville,"(Greenville County, SC)",34.7471032,-82.3564816,Trainer Spot
Peace Center or Ma,Main St,Greenville,"(Greenville County, SC)",34.7652079,-82.3542653,Trainer Spot
Lake Conestee Park (Trail Path) ,601 Fork Shoals Rd,Mauldin,"(Greenville County, SC)",34.7700466,-82.3514566,Trainer Spot
Sunset Park ,211 Fowler Cir,Mauldin,"(Greenville County, SC)",34.771851,-82.3273587,Trainer Spot
 Sunset Park,132 Trailside Ln,Greenville,"(Greenville County, SC)",34.7721242,-82.3241615,Nest
Lakeside Park ,1500 Piedmont Hwy,Greenville,"(Greenville County, SC)",34.7724199,-82.4311777,Trainer Spot
Wenwood Soccer Complex ,1967 Ridge Rd,Greenville,"(Greenville County, SC)",34.7816926,-82.3419738,Trainer Spot
 Wenwood Soccer Complex,1967 Ridge Rd,Greenville,"(Greenville County, SC)",34.781693,-82.339785,Nest
Spr,Hyde Cir,Mauldin,"(Greenville County, SC)",34.7848233,-82.305658,Trainer Spot
MESA Soccer Complex (Pond) ,1020 Anderson Ridge Rd,Simpsonville,"(Greenville County, SC)",34.812653,-82.1967239,Trainer Spot
 Gower Estates Park,24 Evelyn Ave,Greenville,"(Greenville County, SC)",34.829008,-82.350962,Nest
Legacy Park ,336 Rocky Slope Rd,Greenville,"(Greenville County, SC)",34.8293486,-82.334689,Trainer Spot
Gower Estate Park ,24 Evelyn Ave,Greenville,"(Greenville County, SC)",34.829607,-82.3526897,Trainer Spot
 Gower Park,122 Carolina Ave,Greenville,"(Greenville County, SC)",34.8313686,-82.3526775,Habitat
 Gower Park,9 Evelyn Ave,Greenville,"(Greenville County, SC)",34.831369,-82.350489,Nest
Green Forest Park ,Alameda St,Greenville,"(Greenville County, SC)",34.8349867,-82.3787368,Trainer Spot
 Cleveland Park,Cleveland Park Dr,Greenville,"(Greenville County, SC)",34.8443219,-82.3897504,Habitat
 Cleveland Park,Cleveland Park Dr & East Washington,Greenville,"(Greenville County, SC)",34.844322,-82.387562,Nest
 Cleveland Park,Cleveland Park Dr & East Washington,Greenville,"(Greenville County, SC)",34.844331,-82.387593,Nest
 Falls Park,618 S Main St,Greenville,"(Greenville County, SC)",34.8450993,-82.4029106,Habitat
 Falls Park,601 S Main St,Greenville,"(Greenville County, SC)",34.845108,-82.40072,Nest
Falls Park ,Falls Park Dr,Greenville,"(Greenville County, SC)",34.8463655,-82.4036687,Trainer Spot
Cleveland Park ,Cleveland Park Drive & East Washington,Greenville,"(Greenville County, SC)",34.8495083,-82.3870827,Trainer Spot
Pelham Mill Park ,2770 E Phillips Rd,Greenville,"(Greenville County, SC)",34.8567654,-82.2289375,Trainer Spot
Timmons Park ,121 Oxford St,Greenville,"(Greenville County, SC)",34.8643071,-82.375387,Trainer Spot
Butler Spr,301 Butler Springs Rd,Greenville,"(Greenville County, SC)",34.8691977,-82.3382219,Trainer Spot
 Butler Springs Park,301 Butler Springs Rd,Greenville,"(Greenville County, SC)",34.869198,-82.336033,Nest
 Thornblade Club,115 Antigua Way,Greer,"(Greenville County, SC)",34.8693502,-82.2668765,Habitat
Tyger River Park ,1179 Dillard Rd,Duncan,"(Spartanburg County, SC)",34.8706211,-82.1058229,Trainer Spot
Herdklotz Park ,126 Beverly Rd,Greenville,"(Greenville County, SC)",34.8975971,-82.375516,Trainer Spot
Century Park ,3605 Brushy Creek Rd,Greer,"(Greenville County, SC)",34.9298189,-82.2418606,Trainer Spot
 Century Park,1217 Brushy Creek Rd,Taylors,"(Greenville County, SC)",34.9299628,-82.2422841,Habitat
Paris Mounta,2401 State Park Rd,Travelers Rest,"(Greenville County, SC)",34.9311528,-82.3719455,Trainer Spot
Greer City Park ,301 E Poinsett St,Greer,"(Greenville County, SC)",34.9386308,-82.2257727,Trainer Spot
 Century B Park,446 Pennsylvania Ave,Greer,"(Greenville County, SC)",34.938837,-82.242583,Nest
Rockingham Foreshore,274 West Washington Street,Rockingham,"(Richmond County, NC)",34.9393201,-79.7739457,Trainer Spot
Trailblazer Park ,1235 Trailblazer Drive,Travelers Rest,"(Greenville County, SC)",34.956116,-82.4446567,Trainer Spot
Northside Park ,W Darby Rd,Greenville,"(Greenville County, SC)",34.9593454,-82.3572736,Trainer Spot
Gateway Park ,115 Henderson Dr,Travelers Rest,"(Greenville County, SC)",34.9714775,-82.4436785,Trainer Spot
Market Square Circle,Market Square,Fayetteville,"(Cumberland County, NC)",35.0524836,-78.8784915,Trainer Spot
Unity Chapel at Cliffdale ,1027-1043 71st School Rd,Fayetteville,"(Cumberland County, NC)",35.054418,-79.011752,Gym
Manna Church ,5117 Cliffdale Rd,Fayetteville,"(Cumberland County, NC)",35.058958,-78.961499,Gym
Fayetteville Korean Baptist Church ,504 Cliffdale Ct,Fayetteville,"(Cumberland County, NC)",35.059385,-79.009596,Gym
Fayetteville Water Tower ,NC-1400,Fayetteville,"(Cumberland County, NC)",35.059773,-78.956079,Gym
The Golf Club at Ballantyne,13328 Ballantyne Corporate Pl,Charlotte,"(Mecklenburg County, NC)",35.06039014,-80.84595859,Nest
Zion Korean Methodist Church ,6029-6099 Amstead Ave,Fayetteville,"(Cumberland County, NC)",35.060752,-78.97816,Gym
 North Greenville University,7801 N Tigerville Rd,Tigerville,"(Greenville County, SC)",35.067133,-82.373664,Habitat
Redeeming Love Family Church ,4525-4549 Campground Rd,Fayetteville,"(Cumberland County, NC)",35.067574,-78.968752,Gym
Beer Bottle Chandelier ,115 Glensford Dr,Fayetteville,"(Cumberland County, NC)",35.068344,-78.959796,Gym
Anti-Air Cannon ,Air Defense Loop,Fayetteville,"(Cumberland County, NC)",35.068617,-79.030721,Gym
Giant Spoon at Sweet Frogs ,4191 Sycamore Dairy Rd,Fayetteville,"(Cumberland County, NC)",35.069583,-78.952647,Gym
Mellow Mushroom Soldier ,301 N McPherson Church Rd,Fayetteville,"(Cumberland County, NC)",35.072059,-78.952674,Gym
Starbucks ,565 Cross Creek Mall,Fayetteville,"(Cumberland County, NC)",35.07481371,-78.96236039,Gym
James K Polk Memorial,State Rd 3640,Pineville,"(Mecklenburg County, NC)",35.07805553,-80.88250101,Nest
Embassy Suites Fountain ,4760 Lake Valley Dr,Fayetteville,"(Cumberland County, NC)",35.080375,-78.965326,Gym
McDowell Nature Preserve,McDowell Pkwy,Charlotte,"(Mecklenburg County, NC)",35.10020816,-81.02215805,Habitat
Carmel Country Club,4735 Carmel Rd,Charlotte,"(Mecklenburg County, NC)",35.10052963,-80.81748962,Nest
Union Point Park,210 E Front St,New Bern,"(Craven County, NC)",35.1034694,-77.0359368,Trainer Spot
Carmel Country Club,4735 Carmel Rd,Charlotte,"(Mecklenburg County, NC)",35.10477795,-80.82534313,Nest
Myers Park,2317 Colony Rd,Charlotte,"(Mecklenburg County, NC)",35.17440466,-80.83036423,Nest
Freedom Park ,1751-1799 Princeton Ave,Charlotte,"(Mecklenburg County, NC)",35.18642,-80.843238,Gym
St. Lukes Lutheran Church ,3200 Park Rd,Charlotte,"(Mecklenburg County, NC)",35.186442,-80.85306,Gym
Freedom Park Lakeside,Little Sugar Creek Greenway-C3,Charlotte,"(Mecklenburg County, NC)",35.18850524,-80.84508419,Nest
Diana Fountain Statue ,1850 Queens Rd,Charlotte,"(Mecklenburg County, NC)",35.188552,-80.832624,Gym
Triple Arc 1 ,Burwell Cir,Charlotte,"(Mecklenburg County, NC)",35.18867,-80.831413,Gym
Queens Fountain ,Burwell Cir,Charlotte,"(Mecklenburg County, NC)",35.189105,-80.831991,Gym
Queens University Bell Tower ,Evans Clock Tower Cir,Charlotte,"(Mecklenburg County, NC)",35.189713,-80.832739,Gym
Park Place Fountain ,449 N Wendover Rd,Charlotte,"(Mecklenburg County, NC)",35.189938,-80.804833,Gym
The North Carolina Liberty Tree ,2399 Freedom Park Service Rd,Charlotte,"(Mecklenburg County, NC)",35.190002,-80.845338,Gym
US Marine Corps ,Little Sugar Creek Greenway-C3,Charlotte,"(Mecklenburg County, NC)",35.19074,-80.844158,Gym
Eisenhower and Ford ,2435 Cumberland Ave,Charlotte,"(Mecklenburg County, NC)",35.191151,-80.844957,Gym
Pans Labryinth of Pyramidical Spires ,1209 Lilac Rd,Charlotte,"(Mecklenburg County, NC)",35.192698,-80.850821,Gym
The Sermon on the Mound ,2729 Park Rd,Charlotte,"(Mecklenburg County, NC)",35.193045,-80.851113,Gym
Outreach Presbyterian Church ,1073 Providence Rd,Charlotte,"(Mecklenburg County, NC)",35.193504,-80.824811,Gym
Golden Hugh Manaway Memorial ,1420-1422 Queens Rd,Charlotte,"(Mecklenburg County, NC)",35.195571,-80.827515,Gym
Little Sugar Creek Bridge ,1908 Freedom Park Service Rd,Charlotte,"(Mecklenburg County, NC)",35.196326,-80.838582,Gym
Myers Park Branch Library ,1361 Queens Rd,Charlotte,"(Mecklenburg County, NC)",35.196408,-80.827402,Gym
Mint Museum Fountain ,Mint Museum Plaza,Charlotte,"(Mecklenburg County, NC)",35.197757,-80.814107,Gym
Historic Gates at Mint Museum ,Mint Museum Plaza,Charlotte,"(Mecklenburg County, NC)",35.198274,-80.813105,Gym
The Big Lebowski's ,1524 East Blvd,Charlotte,"(Mecklenburg County, NC)",35.199871,-80.842214,Gym
The Gardener ,700-798 Ardsley Rd,Charlotte,"(Mecklenburg County, NC)",35.201372,-80.826992,Gym
The Mural at Longboard's ,1301 East Blvd,Charlotte,"(Mecklenburg County, NC)",35.202066,-80.844581,Gym
Charlotte Fire Department 6 ,249 S Laurel Ave,Charlotte,"(Mecklenburg County, NC)",35.202603,-80.822244,Gym
Fountain at Rush Dickson ,1096 Blythe Blvd,Charlotte,"(Mecklenburg County, NC)",35.202893,-80.837996,Gym
St Andrews Presbyterian Church ,2201 Springdale Ave,Charlotte,"(Mecklenburg County, NC)",35.202929,-80.85596,Gym
Hankins & Whittington ,1307 East Blvd,Charlotte,"(Mecklenburg County, NC)",35.204056,-80.847011,Gym
Clocktower Fountain ,926 S Kings Dr,Charlotte,"(Mecklenburg County, NC)",35.205334,-80.836191,Gym
Pebble Fountain ,Little Sugar Creek Greenway-C3,Charlotte,"(Mecklenburg County, NC)",35.206437,-80.836385,Gym
Gibbs Bench ,928 E Park Ave,Charlotte,"(Mecklenburg County, NC)",35.206904,-80.84691,Gym
Holy Trinity Greek Orthodox Church ,650-666 East Blvd,Charlotte,"(Mecklenburg County, NC)",35.20745,-80.852485,Gym
Center of Southend ,2108 South Blvd,Charlotte,"(Mecklenburg County, NC)",35.208074,-80.861862,Gym
Latta Park,824 E Park Ave,Charlotte,"(Mecklenburg County, NC)",35.20809116,-80.84782004,Nest
Ascension Lutheran ,956-998 Kenilworth Ave,Charlotte,"(Mecklenburg County, NC)",35.208644,-80.839461,Gym
PNC Clock Tower ,2000 Randolph Rd,Charlotte,"(Mecklenburg County, NC)",35.208747,-80.82284,Gym
Latta Park Pavilion ,601 E Park Ave,Charlotte,"(Mecklenburg County, NC)",35.209625,-80.850761,Gym
Resurrection Church ,2825 Shenandoah Ave,Charlotte,"(Mecklenburg County, NC)",35.209693,-80.798876,Gym
Mercy Seat ,2001 Vail Ave,Charlotte,"(Mecklenburg County, NC)",35.210061,-80.821146,Gym
Lil Mailbox ,417 S Cecil St,Charlotte,"(Mecklenburg County, NC)",35.210859,-80.834604,Gym
Balfour Lawn Sculpture ,1928 Camden Rd,Charlotte,"(Mecklenburg County, NC)",35.211017,-80.860366,Gym
Midtown Park,Little Sugar Creek Greenway-C3,Charlotte,"(Mecklenburg County, NC)",35.211025,-80.836229,Gym
Charlotte Fire Department 2 ,1819 South Blvd,Charlotte,"(Mecklenburg County, NC)",35.211026,-80.858335,Gym
Historic Commonwealth Park ,2816 Commonwealth Ave,Charlotte,"(Mecklenburg County, NC)",35.211449,-80.798205,Gym
Design Center Water Tower ,1920 Camden Rd,Charlotte,"(Mecklenburg County, NC)",35.211481,-80.860227,Gym
East/South Boulevard ,136-198 East Blvd,Charlotte,"(Mecklenburg County, NC)",35.211743,-80.8579,Gym
Starbucks ,1959 E 7th St,Charlotte,"(Mecklenburg County, NC)",35.21249465,-80.8179436,Gym
Heroes Comic Shop ,1959 E 7th St,Charlotte,"(Mecklenburg County, NC)",35.212508,-80.818053,Gym
The Portal ,1819-1825 E 7th St,Charlotte,"(Mecklenburg County, NC)",35.214221,-80.82008,Gym
Independence Park East Gazebo ,1701-1799 Park Dr,Charlotte,"(Mecklenburg County, NC)",35.21447,-80.821933,Gym
Caldwell Memorial Presbyterian Church ,1609 E 5th St,Charlotte,"(Mecklenburg County, NC)",35.214819,-80.825009,Gym
Rocky Fountains ,1424 South Blvd,Charlotte,"(Mecklenburg County, NC)",35.215317,-80.853865,Gym
Charlotte Badminton Club,345 Hawthorne Ln,Charlotte,"(Mecklenburg County, NC)",35.21561216,-80.82306862,Habitat
Bland Street Station - Blue Line ,1511 Camden Rd,Charlotte,"(Mecklenburg County, NC)",35.215804,-80.855273,Gym
St. Mary's Chapel ,1129 E 3rd St,Charlotte,"(Mecklenburg County, NC)",35.216079,-80.833212,Gym
Thompson Orphanage Bell ,1150-1166 NC-16,Charlotte,"(Mecklenburg County, NC)",35.216186,-80.833751,Gym
Bovine Beauties ,Charlotte Rail Trail,Charlotte,"(Mecklenburg County, NC)",35.21644,-80.854484,Gym
Chantilly Hall ,2101 Shenandoah Ave,Charlotte,"(Mecklenburg County, NC)",35.216492,-80.812259,Gym
Sloan - Morgan Building ,1220 Elizabeth Ave,Charlotte,"(Mecklenburg County, NC)",35.216752,-80.830578,Gym
Sheraton Sculpture ,537-599 NC-27,Charlotte,"(Mecklenburg County, NC)",35.216869,-80.839325,Gym
CPCC Citizens Fountain ,1221 Charlottetowne Ave,Charlotte,"(Mecklenburg County, NC)",35.216877,-80.828952,Gym
CPCC Central Library ,1300 Sam Ryburn Walk,Charlotte,"(Mecklenburg County, NC)",35.217598,-80.829539,Gym
Greater Galilee Baptist Church ,1598 S Mint St,Charlotte,"(Mecklenburg County, NC)",35.217701,-80.863531,Gym
North Carolina Military Institute ,404-456 NC-27,Charlotte,"(Mecklenburg County, NC)",35.218077,-80.848623,Gym
American Legion Memorial Stadium ,1218-1238 Armory Dr,Charlotte,"(Mecklenburg County, NC)",35.218188,-80.82711,Gym
Carson Station ,Charlotte Rail Trail,Charlotte,"(Mecklenburg County, NC)",35.218813,-80.850986,Gym
The Diamond Restaurant ,1901 Commonwealth Ave,Charlotte,"(Mecklenburg County, NC)",35.218951,-80.813272,Gym
Hawthorne Bridge Fountain ,914 Hawthorne Bridge Ct,Charlotte,"(Mecklenburg County, NC)",35.219099,-80.819643,Gym
Krazy Fish ,2515 Central Ave,Charlotte,"(Mecklenburg County, NC)",35.219458,-80.799985,Gym
Camden Fountain ,317 E Morehead St,Charlotte,"(Mecklenburg County, NC)",35.219538,-80.849007,Gym
Building Art ,1710 Central Ave,Charlotte,"(Mecklenburg County, NC)",35.219916,-80.809998,Gym
Little Sugar Creek Greenway at CPCC Statue ,Little Sugar Creek Greenway,Charlotte,"(Mecklenburg County, NC)",35.219941,-80.830243,Gym
Pint Central ,821-899 Lamar Ave,Charlotte,"(Mecklenburg County, NC)",35.220585,-80.817205,Gym
CMCU Artsy Bank ,710 Central Ave,Charlotte,"(Mecklenburg County, NC)",35.220814,-80.825072,Gym
Hummingbird Mosaic ,1430 E 10th St,Charlotte,"(Mecklenburg County, NC)",35.221907,-80.82215,Gym
Uptown Entrance Post 2 ,901-935 S Tryon St,Charlotte,"(Mecklenburg County, NC)",35.222252,-80.84971,Gym
Duke Energy Center ,170 W Stonewall St,Charlotte,"(Mecklenburg County, NC)",35.223591,-80.848512,Gym
 St. Peter's Catholic Church,507 South Tryon Street,Charlotte,"(Mecklenburg County, NC)",35.2241176,-80.8472011,Trainer Spot
American Flag Mural ,620 W Morehead St,Charlotte,"(Mecklenburg County, NC)",35.226439,-80.856136,Gym
United House of Prayer ,600 N Davidson St,Charlotte,"(Mecklenburg County, NC)",35.226782,-80.832221,Gym
Romare Bearden Park ,300 S Church St,Charlotte,"(Mecklenburg County, NC)",35.227021,-80.847812,Trainer Spot
The greens (park next to one wells fargo in uptown in Charlotte North Carolina,The greens (park next to one wells fargo in uptown,Charlotte,"(Mecklenburg County, NC)",35.2270869,-80.8431267,Trainer Spot
Captain James Jack Monument ,181-199 W Trade St,Charlotte,"(Mecklenburg County, NC)",35.2282,-80.844461,Gym
BB&T Ballpark ,339-399 NC-49,Charlotte,"(Mecklenburg County, NC)",35.22828,-80.849869,Gym
BB&T Ballpark,324 S Mint St,Charlotte,"(Mecklenburg County, NC)",35.22836909,-80.84846377,Habitat
Jim Crockett and Knights Painting ,301-337 NC-49,Charlotte,"(Mecklenburg County, NC)",35.228943,-80.849092,Gym
Sugar Creek Greenway Path (near Alexander Street Park),828 Belmont Ave,Charlotte,"(Mecklenburg County, NC)",35.229369,-80.823785,Gym
Fountain At 525 N. Tryon ,525 N Tryon St,Charlotte,"(Mecklenburg County, NC)",35.231181,-80.838604,Gym
C.F.D.,420 W 5th St,Charlotte,"(Mecklenburg County, NC)",35.231231,-80.845461,Gym
The Pub ,704 W Trade St,Charlotte,"(Mecklenburg County, NC)",35.232317,-80.848797,Gym
Innovation Institute Mural ,801 N Tryon St,Charlotte,"(Mecklenburg County, NC)",35.232851,-80.835645,Gym
4th Ward Fountain ,301 W 9th St,Charlotte,"(Mecklenburg County, NC)",35.232863,-80.839827,Gym
Outdoor Art ,1704 N Davidson St,Charlotte,"(Mecklenburg County, NC)",35.235352,-80.820232,Gym
Elmwood Cemetary,Pinewood Cemetery,Charlotte,"(Mecklenburg County, NC)",35.2383944,-80.8452398,Trainer Spot
Shoppes at University Place ,Downtown Charlotte and Shoppes at University Place,Charlotte,"(Mecklenburg County, NC)",35.3055973,-80.7504726,Trainer Spot
Dallas Park,591-599 Sportsman Dr,Dallas,"(Gaston County, NC)",35.31055518,-81.19960785,Nest
Stallings Road Park,4050 Stallings Rd,Harrisburg,"(Cabarrus County, NC)",35.31619324,-80.64421892,Nest
Harrisburg Park,210 Sims Pkwy,Harrisburg,"(Cabarrus County, NC)",35.3164121,-80.65753877,Nest
Calvary Chapel Asheville,5516 Boylston Hwy,Mills River,"(Henderson County, NC)",35.378466,-82.576814,Gym
Downtown Concord ,Downtown,Concord,"(Cabarrus County, NC)",35.4087517,-80.579511,Trainer Spot
Harnett County Veteran's Memorial,"GIS, 305 West Cornelius Harnett Boulevard",Lillington,"(Harnett County, NC)",35.420084,-78.810241,Trainer Spot
Birkdale Golf Club,16500 Birkdale Commons Parkway,Huntersville,"(Mecklenburg County, NC)",35.43749135,-80.88345051,Nest
Lutheran Church of the Nativity,2425 Hendersonville Rd,Arden,"(Buncombe County, NC)",35.460171,-82.512514,Gym
The Beehive Coffee Bar,3732 Sweeten Creek Rd,Arden,"(Buncombe County, NC)",35.474741,-82.515216,Gym
Ace of Spades Tattoo,90 Depot St,Waynesville,"(Haywood County, NC)",35.493175,-82.989303,Gym
Jack Marley Park,145 East Williams Street,Angier,"(Harnett County, NC)",35.509305,-78.735303,Trainer Spot
Sol Y Luna Cali-mex Cuisine and Bar,1636 Hendersonville Rd #195,Asheville,"(Buncombe County, NC)",35.513384,-82.523683,Gym
Hopey and Co,121 Sweeten Creek Rd,Asheville,"(Buncombe County, NC)",35.51391,-82.520631,Gym
Hominy Valley Park,25 Twin Lakes Dr,Candler,"(Buncombe County, NC)",35.527293,-82.669089,Gym
Harris Chapel AME Zion,26 Prospect,Canton,"(Haywood County, NC)",35.5289303,-82.8364891,Gym
Asheville Outlets,800 Brevard Rd,Asheville,"(Buncombe County, NC)",35.53294,-82.604155,Gym
Candler House of Prayer,1945 Smokey Park Hwy,Candler Heights,"(Buncombe County, NC)",35.54442,-82.709257,Gym
Rejavanation Café,909 Smokey Park Hwy #8950,Candler,"(Buncombe County, NC)",35.546705,-82.657042,Gym
Maple Ridge Baptist Church,404 Ridge St,Candler,"(Buncombe County, NC)",35.547999,-82.678806,Gym
Biltmore Forest,4 Vanderbilt Park Dr,Asheville,"(Buncombe County, NC)",35.55532,-82.538684,Gym
Church of the Resurrection,116 Sweeten Creek Rd,Asheville,"(Buncombe County, NC)",35.56287,-82.528502,Gym
Moe's Original BBQ,4 Sweeten Creek Rd #1,Asheville,"(Buncombe County, NC)",35.565972,-82.538383,Gym
Cheddar's Scratch Kitchen,106 Bleachery Blvd,Asheville,"(Buncombe County, NC)",35.576695,-82.513097,Gym
The Odditorium,1045 Haywood Rd,Asheville,"(Buncombe County, NC)",35.577742,-82.575283,Gym
Rocky's Hot Chicken Shack,1455 Patton Ave,Asheville,"(Buncombe County, NC)",35.578562,-82.609087,Gym
Bethel Seventh Day Adventist,238 S French Broad Ave,Asheville,"(Buncombe County, NC)",35.585406,-82.559383,Gym
Sisters of Mercy Urgent Care,1201 Patton Ave,Asheville,"(Buncombe County, NC)",35.58598,-82.601019,Gym
The Mountaineer Inn,155 Tunnel Rd,Asheville,"(Buncombe County, NC)",35.586445,-82.479122,Gym
YWCA of Asheville,185 South French Broad Avenue,Asheville,"(Buncombe County, NC)",35.587251,-82.559246,Gym
Good Vibes Silo,Queen Street,Asheville,"(Buncombe County, NC)",35.589241,-82.569069,Gym
Charles George VA Medical Center,"1100 Tunnel Rd, Asheville, NC 28805",Asheville,"(Buncombe County, NC)",35.5898854,-82.4841067,Gym
Aston Park Tennis Center,Hilliard Avenue,Asheville,"(Buncombe County, NC)",35.5906,-82.5602,Gym
Murals Under The Bridge ,Lexington Ave/240 Bridge murals ,Asheville,"(Buncombe County, NC)",35.591411,-82.551813,Gym
The Orange Peel,101 Biltmore Ave,Asheville ,"(Buncombe County, NC)",35.591418,-82.551139,Gym
Asheville Racquet Club Downtown,"27 Resort Dr, Asheville",Asheville,"(Buncombe County, NC)",35.593517,-82.579569,Gym
Lou Pollock Memorial Park ,25 New Leicester Hwy,Asheville,"(Buncombe County, NC)",35.597454,-82.621313,Gym
Tods Tasties and To-Go's,102 Montford Ave,Asheville,"(Buncombe County, NC)",35.599023,-82.561787,Gym
The Bywater,796 Riverside Dr,Asheville,"(Buncombe County, NC)",35.610843,-82.576719,Gym
Botanical Gardens At Asheville,151 W T. Weaver Boulevard,Asheville,"(Buncombe County, NC)",35.613425,-82.568226,Gym
Grovewood Gallery,111 Grovewood Rd,Asheville,"(Buncombe County, NC)",35.623053,-82.544081,Gym
Beaver Lake Bird Sanctuary,1020 US-25,Asheville,"(Buncombe County, NC)",35.625594,-82.553937,Gym
Grace Episcopal Church,871 Merrimon Ave,Asheville,"(Buncombe County, NC)",35.629168,-82.552834,Gym
Country Club of Asheville Memorial Garden ,170 Windsor Rd,Asheville,"(Buncombe County, NC)",35.642345,-82.554801,Gym
CW3 Mitch Carver Memorial,2979 New Leicester Hwy,Leicester,"(Buncombe County, NC)",35.655944,-82.713741,Gym
Millpond Trail,4436-4620 State Rd 1375,Raleigh,"(Wake County, NC)",35.71973616,-78.68705392,Nest
Symphony Lake Greenwa,8003 Regency Pkwy,Cary,"(Wake County, NC)",35.72858124,-78.79539371,Habitat
Kelly Road Park,Beaver Creek Greenway,Apex,"(Wake County, NC)",35.7325,-78.89432701,Nest
Montlawn Memorial Park,2911 S Wilmington St,Raleigh,"(Wake County, NC)",35.738297,-78.648943,Trainer Spot
Jesus With The Children ,3008 Old Raleigh Rd,Apex,"(Wake County, NC)",35.740258,-78.821655,Gym
Eva Perry Regional Library ,2100 Shepherds Vineyard Dr,Apex,"(Wake County, NC)",35.743603,-78.825235,Gym
Victorious Aztec Mural ,100 Macgregor Pines Dr,Cary,"(Wake County, NC)",35.74462,-78.819939,Gym
Marla Dorrel Park,181-299 Thurston Dr,Cary,"(Wake County, NC)",35.74614654,-78.76300335,Nest
Apex Community Park ,Lake Pine Dr,Apex,"(Wake County, NC)",35.746695,-78.816047,Gym
Camden Village Fountain ,1200 Park Summit Blvd,Apex,"(Wake County, NC)",35.748314,-78.821485,Gym
Apex Community Lake Trail,Chardstone Ct,Cary,"(Wake County, NC)",35.75200586,-78.82290998,Habitat
The Wake Zone Coffee House ,6108 Old Jenks Rd,Apex,"(Wake County, NC)",35.753965,-78.849385,Gym
Reubin A. McNeil Memorial ,100-110 Chardstone Ct,Cary,"(Wake County, NC)",35.754678,-78.826691,Gym
Salem Baptist Church ,1200 Salem Church Rd,Apex,"(Wake County, NC)",35.754706,-78.845466,Gym
Apex Community Park Entrance ,100-110 Chardstone Ct,Cary,"(Wake County, NC)",35.754706,-78.828589,Gym
Stratford Welcome Center Fountain ,107 Hertfordshire Ct,Cary,"(Wake County, NC)",35.75566,-78.77595,Gym
Greenway Playground ,Annie Jones Greenway,Cary,"(Wake County, NC)",35.760383,-78.808096,Gym
Annie Jones Park ,1414-1418 Tarbert Dr,Cary,"(Wake County, NC)",35.760462,-78.813386,Gym
Kirk of Kildaire ,200 High Meadow Dr,Cary,"(Wake County, NC)",35.762042,-78.785253,Gym
Duck Playground Equipment ,203 Ashton Pl,Cary,"(Wake County, NC)",35.763358,-78.788192,Gym
Woodland Pond ,300-316 Kildaire Woods Dr,Cary,"(Wake County, NC)",35.765922,-78.779178,Gym
Westhigh Evangelical Covenant Church ,590 Westhigh St,Cary,"(Wake County, NC)",35.766203,-78.840731,Gym
Mesh Woman ,1144 Executive Cir,Cary,"(Wake County, NC)",35.76711,-78.7822,Gym
The Cross Forgotten ,2891 SW Cary Pkwy,Cary,"(Wake County, NC)",35.768876,-78.831505,Gym
Cary Water Tower ,710-720 State Rd 1415,Cary,"(Wake County, NC)",35.769011,-78.764009,Gym
Historic Oak View County Park,Historic Oak View Ln,Raleigh,"(Wake County, NC)",35.76991492,-78.56999159,Nest
Anderson Point Park,Anderson Point Park Trail,Raleigh,"(Wake County, NC)",35.77047204,-78.54137778,Nest
Residential Neighborhood,Sherwood Greens Greenway,Cary,"(Wake County, NC)",35.770545,-78.852426,Gym
First Reformed Church of Cary ,555 SW Maynard Rd,Cary,"(Wake County, NC)",35.771298,-78.793833,Gym
The Oval,911 Partners Way,Raleigh,"(Wake County, NC)",35.77141217,-78.6743027,Habitat
Sneak Attack ,110 SW Maynard Rd,Cary,"(Wake County, NC)",35.771614,-78.783002,Gym
Ryan Tysinger ,Bond Lake Trail,Cary,"(Wake County, NC)",35.772765,-78.829005,Gym
Bethel Baptist Church ,1111 W Chatham St,Cary,"(Wake County, NC)",35.773096,-78.802608,Gym
Marker on the Bond Park Lake Trail ,Bond Park  ,Cary,"(Wake County, NC)",35.773109,-78.827782,Gym
Cary High ,800-862 Walnut St,Cary,"(Wake County, NC)",35.773185,-78.765529,Gym
Davis Drive Park Playground ,1610 Davis Dr,Apex,"(Wake County, NC)",35.773469,-78.844943,Gym
Davis Drive Park ,1698 NC-1613,Apex,"(Wake County, NC)",35.773629,-78.845802,Gym
Park Village Fountain ,100-172 Castle Hayne Dr,Cary,"(Wake County, NC)",35.774147,-78.854783,Gym
Bond Park Troop 212 Eagle Scout Project ,Bond Lake Trail,Cary,"(Wake County, NC)",35.774521,-78.826613,Gym
White Oak Park ,White Oak Creek Greenway,Cary,"(Wake County, NC)",35.774771,-78.860631,Gym
Cary Fire Dept Recognition ,Bond Lake Trail,Cary,"(Wake County, NC)",35.775014,-78.827792,Gym
Starbucks ,770 Cary Towne Blvd,Cary,"(Wake County, NC)",35.775164,-78.764947,Gym
Rooster Statue ,699-719 Cary Towne Blvd,Cary,"(Wake County, NC)",35.775724,-78.766649,Gym
Kassel Memorial ,Bond Lake Trail,Cary,"(Wake County, NC)",35.775999,-78.827613,Gym
